step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
346,0.6574,0.6574,0.8799,-0.7512,0.4424,1.0000
347,0.7274,0.7274,0.8615,-1.0651,0.3973,1.0000
348,0.7394,0.7394,0.8861,-0.6865,1.3155,1.0000
349,0.6707,0.6707,0.8832,-1.4025,0.8360,1.0000
350,0.7159,0.7159,0.8700,-0.4520,1.3901,1.0000
351,0.6700,0.6700,0.8821,-0.7260,0.8013,1.0000
352,0.6843,0.6843,0.8795,-1.6723,0.2681,1.0000
353,0.6174,0.6174,0.8964,-1.9167,0.2122,1.0000
354,0.6516,0.6516,0.8885,-1.9253,0.2792,1.0000
355,0.7132,0.7132,0.8658,-0.4315,0.3814,1.0000
356,0.6839,0.6839,0.8839,-1.9503,0.4449,1.0000
357,0.6536,0.6536,0.8889,-0.8437,1.3131,1.0000
358,0.7104,0.7104,0.8746,-1.1287,0.4038,1.0000
359,0.6686,0.6686,0.8831,-1.7452,0.0000,1.0000
360,0.6734,0.6734,0.8846,-2.2016,0.1835,1.0000
361,0.7413,0.7413,0.8782,-0.1007,0.8944,1.0000
362,0.7198,0.7198,0.8804,-0.6326,0.4633,1.0000
363,0.6694,0.6694,0.8824,-0.9602,1.3524,1.0000
364,0.6936,0.6936,0.8845,-1.8461,0.3379,1.0000
365,0.6817,0.6817,0.8810,-1.8941,0.0000,1.0000
366,0.6972,0.6972,0.8809,-1.7790,1.3380,1.0000
367,0.6582,0.6582,0.8947,-1.3355,0.1621,1.0000
368,0.6705,0.6705,0.8984,-1.5104,0.0000,1.0000
369,0.7243,0.7243,0.8680,-0.6074,0.7422,1.0000
370,0.7082,0.7082,0.8925,-0.4708,1.3537,1.0000
371,0.6610,0.6610,0.8987,-2.6414,0.0000,1.0000
372,0.7142,0.7142,0.8764,-0.9002,0.0000,1.0000
373,0.6187,0.6187,0.8877,-2.6764,0.8678,1.0000
374,0.6002,0.6002,0.8939,-1.5990,0.5697,1.0000
375,0.6326,0.6326,0.8896,-0.6910,0.1923,1.0000
376,0.5887,0.5887,0.8955,-0.5982,1.9231,1.0000
377,0.6646,0.6646,0.8939,-0.8293,1.0311,1.0000
378,0.7215,0.7215,0.8949,-0.0410,1.9657,1.0000
379,0.6515,0.6515,0.8779,-2.2387,0.8246,1.0000
380,0.6377,0.6377,0.8918,-1.8249,1.2942,1.0000
381,0.6612,0.6612,0.8872,-2.4691,0.3222,1.0000
382,0.6250,0.6250,0.9065,-3.2191,1.8009,1.0000
383,0.5944,0.5944,0.9020,-3.4396,0.0000,1.0000
384,0.6958,0.6958,0.8996,0.3476,1.4910,1.0000
385,0.6492,0.6492,0.8889,-0.2342,2.1066,1.0000
386,0.5897,0.5897,0.9092,-2.3468,1.0546,1.0000
387,0.6910,0.6910,0.8952,-1.8973,1.0633,1.0000
388,0.6652,0.6652,0.8924,-2.5697,0.0790,1.0000
389,0.6216,0.6216,0.9046,-0.9516,2.4810,1.0000
390,0.6089,0.6089,0.9037,-1.3082,0.3519,1.0000
391,0.5951,0.5951,0.9063,-2.1646,1.7801,1.0000
392,0.6422,0.6422,0.8982,-2.3006,1.2157,1.0000
393,0.6386,0.6386,0.8959,0.1293,1.8340,1.0000
394,0.5299,0.5299,0.9122,-1.4919,1.4373,1.0000
395,0.4875,0.4875,0.9180,-5.6459,1.5708,1.0000
396,0.6216,0.6216,0.9036,-0.0436,3.4698,1.0000
397,0.5670,0.5670,0.9035,-2.7802,2.3132,1.0000
398,0.6019,0.6019,0.8969,-2.4346,2.1336,1.0000
399,0.5933,0.5933,0.9020,-2.3416,4.2381,1.0000
400,0.5466,0.5466,0.9120,-2.5476,0.8671,1.0000
401,0.6045,0.6045,0.9105,-3.5983,0.8337,1.0000
402,0.5919,0.5919,0.9095,-3.9194,1.1671,1.0000
403,0.5949,0.5949,0.9047,-1.9442,1.1305,1.0000
404,0.5645,0.5645,0.9179,-2.3680,1.2343,1.0000
405,0.6082,0.6082,0.9018,-1.7472,0.7733,1.0000
406,0.5295,0.5295,0.9120,1.7317,1.1161,1.0000
407,0.5549,0.5549,0.8963,-3.4262,0.9470,1.0000
408,0.5543,0.5543,0.9226,-2.3057,3.7028,1.0000
409,0.5638,0.5638,0.9210,-0.8823,2.8385,1.0000
410,0.5294,0.5294,0.9112,-1.9186,0.9342,1.0000
411,0.5403,0.5403,0.9146,-1.4182,1.6132,1.0000
412,0.5773,0.5773,0.9279,-4.5629,0.3566,1.0000
413,0.5202,0.5202,0.9174,-4.5528,2.2049,1.0000
414,0.4899,0.4899,0.9324,-4.6330,1.5610,1.0000
415,0.4877,0.4877,0.9274,-2.5163,2.5960,1.0000
416,0.5188,0.5188,0.9229,-2.4550,2.4916,1.0000
417,0.4986,0.4986,0.9279,-1.1607,0.7617,1.0000
418,0.5130,0.5130,0.9251,-3.7216,1.1787,1.0000
419,0.4675,0.4675,0.9317,-1.0442,0.4514,1.0000
